title;content;summary;category;date;author;relatedPlayerNames;relatedMatchOpponent
Bruno Alves alcanza los 25 goles como centrocampista;El centrocampista portugués Bruno Alves ha alcanzado la impresionante cifra de 25 goles con la camiseta del CFS Malgrat una cifra notable para un jugador de su posición. Su capacidad de llegada y disparo lo convierten en un arma letal desde segunda línea.;Bruno Alves referencia goleadora desde el mediocampo;partidos;2026-01-05;Estadísticas CFS Malgrat;Bruno Alves;
Previa Champions: CFS Malgrat vs Juventus;El CFS Malgrat se enfrentará a la Juventus en los octavos de final de la Champions League. El equipo llega en un gran momento de forma tras clasificarse como segundo de grupo. La ida se jugará en el Estadio El Municipal.;El equipo afronta los octavos de Champions con ilusión;partidos;2026-02-17;Prensa CFS Malgrat;;Juventus
Éxito de la campaña de abonados 2025-2026;El CFS Malgrat ha batido su récord de abonados para la temporada 2025-2026 con más de 35.000 socios. La afición malgratense/s ha respondido de manera extraordinaria al proyecto deportivo del club.;Récord histórico de abonados en el club;institucional;2025-08-01;Dirección CFS Malgrat;;
Mohamed El Fassi nominado al Golden Boy;El joven lateral marroquí Mohamed El Fassi ha sido incluido en la lista de nominados al premio Golden Boy que reconoce al mejor jugador sub-21 de Europa. Su velocidad y capacidad técnica no han pasado desapercibidas.;El Fassi nominado al Golden Boy europeo;comunidad;2025-12-15;Prensa Internacional;Mohamed El Fassi;
Inauguración del nuevo centro de entrenamiento;El CFS Malgrat ha inaugurado su nuevo centro de entrenamiento de última generación. Las instalaciones cuentan con cinco campos de césped natural tres gimnasios una piscina olímpica y las últimas tecnologías en análisis deportivo.;Nuevas instalaciones para potenciar el rendimiento;institucional;2026-01-20;Dirección CFS Malgrat;;
Karim Zidane brilla en su primer clásico;El joven centrocampista francés Karim Zidane fue la estrella del partido ante el Sevilla FC en Liga con una actuación magistral. Su control del tempo del partido y su pase para el gol de Pedro Lozano fueron highlights de la jornada.;Zidane deslumbra con una actuación estelar;partidos;2025-03-30;Crónica Deportiva;Karim Zidane-Pedro Lozano;Sevilla FC
James Wilson se adapta a la Liga española;El atacante inglés James Wilson ha completado su mejor mes desde su llegada al CFS Malgrat con 4 goles en 5 partidos. El jugador ha reconocido sentirse cada vez más cómodo con el estilo de juego del equipo y la ciudad.;Wilson encuentra su mejor versión en España;comunidad;2025-05-15;Entrevista Deportiva;James Wilson;
Rafael Domínguez renueva como capitán;El mediapunta español Rafael Domínguez ha sido confirmado como nuevo capitán del equipo junto a Adrián Molina. Su liderazgo en el mediocampo y su compromiso con el club lo hacen merecedor del brazalete.;Domínguez nuevo capitán del CFS Malgrat;institucional;2025-08-10;Prensa CFS Malgrat;Rafael Domínguez;
Jornada de puertas abiertas en El Municipal;El CFS Malgrat celebró su tradicional jornada de puertas abiertas en el Estadio El Municipal con la asistencia de más de 10.000 aficionados. Los jugadores firmaron autógrafos y compartieron momentos con la afición en una mañana de celebración.;Miles de aficionados disfrutan del Open Day;comunidad;2025-08-05;Comunicación CFS Malgrat;;
Entrevista exclusiva con el entrenador: objetivos cumplidos;El entrenador del CFS Malgrat ha concedido una entrevista exclusiva donde repasa la temporada. Destaca la clasificación para Champions los cuartos de final europeos y la lucha por el título de Liga como hitos de un proyecto en crecimiento constante.;El míster analiza una temporada histórica;institucional;2026-04-01;Entrevista Exclusiva;;
Emmanuel Adeyemi convocado para la Copa de África;El extremo nigeriano Emmanuel Adeyemi ha sido convocado por la selección de Nigeria para disputar la Copa de África. El jugador del CFS Malgrat vivirá su primera gran cita internacional con su selección.;Adeyemi representará a Nigeria en la Copa de África;comunidad;2025-12-28;Prensa Internacional;Emmanuel Adeyemi;
Programa de formación: la base del éxito;El CFS Malgrat ha presentado su programa de formación integral para las categorías inferiores. El club apuesta por la cantera como pilar fundamental de su proyecto deportivo con más de 200 jóvenes en las diferentes categorías formativas.;La cantera motor del proyecto deportivo;institucional;2026-02-10;Academia CFS Malgrat;;
Luka Horvat nominado al equipo ideal de la Liga;El central croata Luka Horvat ha sido nominado al equipo ideal de la Liga tras su brillante temporada. Con 130 partidos acumulados el defensa se ha ganado el respeto de rivales y compañeros por su solidez y liderazgo.;Horvat candidato al once ideal de la temporada;comunidad;2026-05-20;Prensa Deportiva;Luka Horvat;
Resumen de la temporada 2025-2026;El CFS Malgrat cierra una temporada histórica con subcampeonato de Liga cuartos de Champions y semifinales de Copa. El club ha demostrado que puede competir al más alto nivel y los aficionados sueñan con una temporada aún mejor.;Temporada histórica para el CFS Malgrat;institucional;2026-06-15;Prensa CFS Malgrat;;
